size,time_us
500,74
600,41
700,41
800,45
900,44
1000,62
1100,75
1200,76
1300,79
1400,80
1500,92
1600,91
1700,104
1800,99
1900,131
2000,128
2100,145
2200,148
2300,164
2400,160
2500,172
2600,177
2700,174
2800,176
2900,185
3000,242
3100,198
3200,201
3300,345
3400,211
3500,215
3600,222
3700,235
3800,242
3900,262
4000,325
4100,382
4200,305
4300,312
4400,316
4500,328
4600,326
4700,334
4800,393
4900,379
5000,492
5100,356
5200,586
5300,369
5400,391
5500,378
5600,403
5700,388
5800,396
5900,406
6000,411
6100,416
6200,449
6300,427
6400,453
6500,440
6600,477
6700,451
6800,457
6900,516
7000,462
7100,487
7200,475
7300,745
7400,489
7500,515
7600,522
7700,516
7800,534
7900,566
8000,665
8100,964
8200,645
8300,651
8400,700
8500,664
8600,671
8700,672
8800,718
8900,779
9000,743
9100,702
9200,743
9300,711
9400,718
9500,725
9600,772
9700,735
9800,743
9900,754
10000,758
10100,765
10200,1457
10300,776
10400,783
10500,786
10600,797
10700,1236
10800,858
10900,833
11000,844
11100,830
11200,828
11300,838
11400,843
11500,852
11600,866
11700,863
11800,872
11900,878
12000,910
12100,886
12200,956
12300,899
12400,933
12500,912
12600,951
12700,951
12800,955
12900,961
13000,1343
13100,971
13200,961
13300,958
13400,967
13500,978
13600,1044
13700,1038
13800,991
13900,1000
14000,1013
14100,1014
14200,1320
14300,1024
14400,1021
14500,1044
14600,1056
14700,1057
14800,1083
14900,1061
15000,1106
15100,1104
15200,1114
15300,1121
15400,1131
15500,1171
15600,1190
15700,1217
15800,1239
15900,1272
16000,1303
16100,1337
16200,1365
16300,1424
16400,1419
16500,1431
16600,1427
16700,1408
16800,1444
16900,1422
17000,1429
17100,1471
17200,1482
17300,1483
17400,1657
17500,1493
17600,1502
17700,1519
17800,1539
17900,1533
18000,1536
18100,1544
18200,1573
18300,1551
18400,1552
18500,1560
18600,1578
18700,1580
18800,1594
18900,2147
19000,1612
19100,1676
19200,1613
19300,1738
19400,1625
19500,1646
19600,1747
19700,1681
19800,1660
19900,1762
20000,1677
20100,1684
20200,1694
20300,1703
20400,1697
20500,2016
20600,1728
20700,1715
20800,1724
20900,1743
21000,1742
21100,1788
21200,1811
21300,1769
21400,1773
21500,1831
21600,1804
21700,3015
21800,1803
21900,1811
22000,1816
22100,1823
22200,1832
22300,1855
22400,1830
22500,1909
22600,1848
22700,1869
22800,1873
22900,1899
23000,1927
23100,1958
23200,1909
23300,2380
23400,1920
23500,1963
23600,1933
