size,time_us
500,119
600,142
700,141
800,160
900,178
1000,235
1100,262
1200,243
1300,261
1400,280
1500,357
1600,476
1700,413
1800,363
1900,468
2000,406
2100,427
2200,449
2300,559
2400,493
2500,599
2600,623
2700,555
2800,575
2900,598
3000,1120
3100,791
3200,664
3300,682
3400,704
3500,847
3600,743
3700,902
3800,924
3900,1551
4000,1035
4100,846
4200,1021
4300,894
4400,915
4500,1115
4600,953
4700,1472
4800,1288
4900,1208
5000,1044
5100,1182
5200,1093
5300,1111
5400,1315
5500,1151
5600,1373
5700,1201
5800,1227
5900,1246
6000,1261
6100,1283
6200,1634
6300,1324
6400,1568
6500,1515
6600,1680
6700,1416
6800,1606
6900,1459
7000,1478
7100,1750
7200,1525
7300,1768
7400,1575
7500,1855
7600,1888
7700,1911
7800,1656
7900,2006
8000,1791
8100,1723
8200,1730
8300,1761
8400,2081
8500,1807
8600,1849
8700,1848
8800,1878
8900,1903
9000,2208
9100,2275
9200,2290
9300,2322
9400,2460
9500,2363
9600,2394
9700,2084
9800,2105
9900,2461
10000,2146
10100,2199
10200,2176
10300,2202
10400,2234
10500,2612
10600,2632
10700,2300
10800,2324
10900,2387
11000,2424
11100,2786
11200,2448
11300,2637
11400,2527
11500,2505
11600,2556
11700,2570
11800,2572
11900,2956
12000,2628
12100,3027
12200,2627
12300,2689
12400,2712
12500,2729
12600,2749
12700,2775
12800,2789
12900,2815
13000,2815
13100,3255
13200,2888
13300,3345
13400,3011
13500,2934
13600,2988
13700,2992
13800,3004
13900,3518
14000,3566
14100,3068
14200,3583
14300,3091
14400,3122
14500,3231
14600,3743
14700,3269
14800,3230
14900,3248
15000,3297
15100,3363
15200,3403
15300,3418
15400,3832
15500,3416
15600,3467
15700,3769
15800,3502
15900,3527
16000,3546
16100,3589
16200,3614
16300,3732
16400,3602
16500,3629
16600,3687
16700,3695
16800,4181
16900,3752
17000,3771
17100,4018
17200,3816
17300,4145
17400,7577
17500,3879
17600,3910
17700,3966
17800,3981
17900,4000
18000,4042
18100,4056
18200,4067
18300,4057
18400,4098
18500,4089
18600,4213
18700,4196
18800,4307
18900,4205
19000,4229
19100,4294
19200,4324
19300,4369
19400,4333
19500,4487
19600,5010
19700,4384
19800,4438
19900,4440
20000,4583
20100,4504
20200,4521
20300,4968
20400,4587
20500,4560
20600,5012
20700,5269
20800,4653
20900,4670
21000,4682
21100,4706
21200,4785
21300,5627
21400,5051
21500,4813
21600,4879
21700,5208
21800,4911
21900,5656
22000,5003
22100,5581
22200,5025
22300,5569
22400,5065
22500,5060
22600,5470
22700,5475
22800,5408
22900,5976
23000,5139
23100,5355
23200,5256
23300,5287
23400,5304
23500,5334
23600,5363
23700,5702
23800,5350
23900,5553
24000,5367
24100,5517
24200,5683
24300,5754
24400,5475
24500,5751
24600,5489
24700,5563
24800,5546
24900,10257
25000,5647
25100,5813
25200,5677
25300,5658
25400,7193
25500,5846
25600,5721
25700,5785
25800,5815
25900,5954
26000,5884
26100,6042
26200,5949
26300,6139
26400,5931
26500,6105
26600,5959
26700,6564
26800,6028
26900,6229
27000,6132
27100,6561
27200,6156
27300,6235
27400,6202
27500,6308
27600,6274
27700,6707
27800,6288
27900,6328
28000,6357
28100,6485
28200,6451
28300,6430
28400,6524
28500,6625
28600,6458
28700,6470
28800,6528
28900,6548
29000,6580
29100,6656
29200,6591
29300,6673
29400,6794
29500,6841
29600,6681
29700,6783
29800,6782
29900,6875
30000,6806
30100,7098
30200,7109
30300,6913
30400,6864
30500,7591
30600,6992
30700,7309
30800,6946
30900,7091
31000,7038
31100,7153
31200,7137
31300,7125
31400,14564
31500,7204
31600,7176
31700,7748
31800,7567
31900,7366
32000,7604
32100,7372
32200,7412
32300,7306
32400,7286
32500,7475
32600,7642
32700,7434
32800,8364
32900,8023
33000,7553
33100,7477
33200,7451
33300,7604
33400,7808
33500,7540
33600,7623
33700,7827
33800,7751
33900,8059
34000,8293
34100,7775
34200,7904
34300,7913
34400,8473
34500,8012
34600,7870
34700,7972
34800,8155
34900,8218
35000,8021
35100,8366
35200,8252
35300,8266
35400,8208
35500,8020
35600,8146
35700,8155
35800,8186
35900,8168
36000,8336
36100,8424
36200,8180
36300,8469
36400,16300
36500,8644
36600,8498
36700,8406
36800,8389
36900,8776
37000,8682
37100,8933
37200,8607
37300,8506
37400,8575
37500,8641
37600,8629
37700,8605
37800,8730
37900,9391
38000,8862
38100,8804
38200,8624
38300,8782
38400,8741
38500,9054
38600,9522
38700,9261
38800,9264
38900,9684
39000,9362
39100,9185
39200,9409
39300,8993
39400,9004
39500,9040
39600,9163
39700,9438
39800,9063
39900,9126
40000,9133
40100,9225
40200,9161
40300,9181
40400,9445
40500,9711
40600,9609
40700,9504
40800,10957
40900,10235
41000,9317
41100,9903
41200,9387
41300,9622
41400,9548
41500,9543
41600,9930
41700,9860
41800,9774
41900,10125
42000,9619
42100,10412
42200,9919
42300,10462
42400,10243
42500,10578
42600,10175
42700,10258
42800,10311
42900,10283
43000,9802
43100,10133
43200,10048
43300,10732
43400,9925
43500,10890
43600,10752
43700,10955
43800,10955
43900,10415
44000,11243
44100,10142
44200,10683
44300,11018
44400,10871
44500,10394
44600,10615
44700,10434
44800,10755
44900,11226
45000,23185
45100,10698
45200,10827
45300,11086
45400,11064
45500,11403
45600,10847
45700,11285
45800,11635
45900,11170
46000,11436
46100,11329
46200,11975
46300,11396
46400,11417
46500,11189
46600,11116
46700,10850
46800,11378
46900,11534
47000,11514
47100,12987
47200,11217
47300,11182
47400,11500
47500,11437
47600,11857
47700,11618
47800,11913
47900,11478
48000,11859
48100,12451
48200,12028
48300,19661
48400,12678
48500,12088
48600,11857
48700,11754
48800,11226
48900,14082
49000,12237
49100,12037
49200,13347
49300,12276
49400,12080
49500,12424
49600,11939
49700,11605
49800,11992
49900,12348
50000,11988
50100,12008
50200,12098
50300,11784
50400,13509
50500,12563
50600,12033
50700,12668
50800,12138
50900,12247
51000,12094
51100,12789
51200,12285
51300,12631
51400,12558
51500,13423
51600,12529
51700,19216
51800,12607
51900,12912
52000,12376
52100,12629
52200,14879
52300,12929
52400,13911
52500,12863
52600,12691
52700,13234
52800,13924
52900,12541
53000,12601
53100,13070
53200,12848
53300,13699
53400,12720
53500,12831
53600,12748
53700,12830
53800,12803
53900,12936
54000,12830
54100,12732
54200,13165
54300,13169
54400,13388
54500,13049
54600,13628
54700,13693
54800,13075
54900,13217
55000,13046
55100,13458
55200,13417
55300,13223
55400,13368
55500,13956
55600,13461
55700,14603
55800,14676
55900,13612
56000,13384
56100,14222
56200,13920
56300,13242
56400,14163
56500,13228
56600,13495
56700,13521
56800,13809
56900,13820
57000,14285
57100,13645
57200,13566
57300,13938
57400,13906
57500,13593
57600,14700
57700,13771
57800,13965
57900,13816
58000,13898
58100,14232
58200,13654
58300,14005
58400,14201
58500,13880
58600,14107
58700,13783
58800,14244
58900,14561
59000,14125
59100,14686
59200,15043
59300,14228
59400,14022
59500,14114
59600,15139
59700,14619
59800,14619
59900,14397
60000,14168
60100,14847
60200,14351
60300,14416
60400,14284
60500,14613
60600,14422
60700,21589
60800,16047
60900,14503
61000,14544
61100,16022
61200,16468
61300,14586
61400,14547
61500,14390
61600,14620
61700,14638
61800,14895
61900,14829
62000,14806
62100,14463
62200,15038
62300,14748
62400,15788
62500,14925
62600,14941
62700,14941
62800,15879
62900,14855
63000,14636
63100,16584
63200,15563
63300,15108
63400,26255
63500,15420
63600,15090
63700,14896
63800,15028
63900,15145
64000,14990
64100,15339
64200,20336
64300,15035
64400,15438
64500,15014
64600,15519
64700,15268
64800,16191
64900,15035
65000,15184
65100,16050
65200,15266
65300,15312
65400,15932
65500,19800
65600,15808
65700,15649
65800,15537
65900,15659
66000,15557
66100,16507
66200,15703
66300,15863
66400,16063
66500,15720
66600,16066
66700,15883
66800,15896
66900,15871
67000,16124
67100,16483
67200,16171
67300,15682
67400,15795
67500,15768
67600,16415
67700,16192
67800,16379
67900,16265
68000,16276
68100,16148
68200,16306
68300,16183
68400,16410
68500,17035
68600,16328
68700,16476
68800,16249
68900,16542
69000,16611
69100,16218
69200,16317
69300,16481
69400,16456
69500,16590
69600,16982
69700,16394
69800,16742
69900,16810
70000,16599
70100,17101
70200,16659
70300,17760
70400,17084
70500,16663
70600,16628
70700,18972
70800,17118
70900,16834
71000,16984
71100,17288
71200,16744
71300,17113
71400,16807
71500,17162
71600,18049
71700,17181
71800,17464
71900,18039
72000,17062
72100,17476
72200,17383
72300,17437
72400,17312
72500,17666
72600,17481
72700,17538
72800,18011
72900,17300
73000,29044
73100,17429
73200,17988
73300,17558
73400,17975
73500,17579
73600,17680
73700,17952
73800,17616
73900,17464
74000,17751
74100,20110
74200,17639
74300,17822
74400,17616
74500,17668
74600,22135
74700,18600
74800,19032
74900,18000
75000,17982
75100,17827
75200,26329
75300,17914
75400,18324
75500,18022
75600,18320
75700,18390
75800,17799
75900,18503
76000,18150
76100,18293
76200,18612
76300,18570
76400,18545
76500,18503
76600,18113
76700,18156
76800,18324
76900,18482
77000,18466
77100,18737
77200,18392
77300,18667
77400,18604
77500,18689
77600,18287
77700,18945
77800,18551
77900,18596
78000,18647
78100,18733
78200,19387
78300,18817
78400,19086
78500,19128
78600,19043
78700,19038
78800,19211
78900,18940
79000,18685
79100,18910
79200,19994
79300,28627
79400,25194
79500,19979
79600,19052
79700,19399
79800,19872
79900,19311
80000,19321
80100,19300
80200,27244
80300,20194
80400,19355
80500,19538
80600,19885
80700,19349
80800,19368
80900,19174
81000,19785
81100,19387
81200,19328
81300,19922
81400,29924
81500,20753
81600,20223
81700,19634
81800,19657
81900,19241
82000,19798
82100,19442
82200,19773
82300,19232
82400,20467
82500,20404
82600,19841
82700,19658
82800,20096
82900,20072
83000,19816
83100,20621
83200,20107
83300,21180
83400,20368
83500,20115
83600,20128
83700,20241
83800,20238
83900,19979
84000,21167
84100,19900
84200,20370
84300,20293
84400,20312
84500,20498
84600,20357
84700,20544
84800,20070
84900,20811
85000,21088
85100,20121
85200,20584
85300,33792
85400,20102
85500,20989
85600,21561
85700,21293
85800,21406
85900,21142
86000,21528
86100,21595
86200,20457
86300,21233
86400,20855
86500,20568
86600,21381
86700,20991
86800,20959
86900,20846
87000,20770
87100,21096
87200,43111
87300,22007
87400,24098
87500,22231
87600,21445
87700,21499
87800,21216
87900,21564
88000,23082
88100,21308
88200,21884
88300,21223
88400,21160
88500,33195
88600,21665
88700,21341
88800,22553
88900,20882
89000,21889
89100,22035
89200,21375
89300,22253
89400,24258
89500,22420
89600,22560
89700,21834
89800,21416
89900,21732
90000,21430
90100,21558
90200,21980
90300,21488
90400,22206
90500,22022
90600,22742
90700,22962
90800,23047
90900,21930
91000,22109
91100,23244
91200,22911
91300,22592
91400,22693
91500,22591
91600,22054
91700,22257
91800,23458
91900,22484
92000,23260
92100,22402
92200,23807
92300,23083
92400,23565
92500,22304
92600,23396
92700,22672
92800,22398
92900,22388
93000,22606
93100,23056
93200,23037
93300,23398
93400,22505
93500,22744
93600,22726
93700,24412
93800,24373
93900,22946
94000,23510
94100,22619
94200,23067
94300,23017
94400,24685
94500,22674
94600,23620
94700,28197
94800,23259
94900,23478
95000,22638
95100,24074
95200,23395
95300,24024
95400,25157
95500,23010
95600,23962
95700,36814
95800,22951
95900,25322
96000,29302
96100,23136
96200,22975
96300,25022
96400,24028
96500,23017
96600,25244
96700,24411
96800,23395
96900,23684
97000,24388
97100,23714
97200,24756
97300,23248
97400,23600
97500,23829
97600,23861
97700,31735
97800,23587
97900,24104
98000,23433
98100,23762
98200,24933
98300,23990
98400,23835
98500,24143
98600,23407
98700,24740
98800,24552
98900,23979
99000,24937
99100,23872
99200,24625
99300,23938
99400,23867
99500,24710
99600,24453
99700,23913
99800,25427
99900,25528
100000,24865
