size,time_us
500,52
600,63
700,70
800,81
900,83
1000,109
1100,127
1200,237
1300,145
1400,156
1500,177
1600,181
1700,197
1800,250
1900,213
2000,249
2100,275
2200,284
2300,296
2400,302
2500,319
2600,328
2700,336
2800,468
2900,357
3000,545
3100,382
3200,394
3300,415
3400,477
3500,427
3600,443
3700,629
3800,474
3900,519
4000,610
4100,684
4200,567
4300,601
4400,593
4500,827
4600,622
4700,653
4800,789
4900,743
5000,923
5100,684
5200,847
5300,717
5400,722
5500,736
5600,761
5700,758
5800,771
5900,802
6000,798
6100,818
6200,843
6300,840
6400,882
6500,866
6600,876
6700,887
6800,1181
6900,927
7000,939
7100,949
7200,951
7300,968
7400,1642
7500,1067
7600,1006
7700,1019
7800,1058
7900,1100
8000,1161
8100,1180
8200,1207
8300,1253
8400,1229
8500,1326
8600,1257
8700,1300
8800,1321
8900,1309
9000,1310
9100,1322
9200,1363
9300,1385
9400,1365
9500,1485
9600,1389
9700,1447
9800,1421
9900,1489
10000,1449
10100,1499
10200,1506
10300,1521
10400,1511
10500,1819
10600,1572
10700,1549
10800,1563
10900,1578
11000,1590
11100,1756
11200,1615
11300,1625
11400,1650
11500,1657
11600,1670
11700,1679
11800,1832
11900,1705
12000,1720
12100,1774
12200,1746
12300,1756
12400,2049
12500,1827
12600,1824
12700,1843
12800,1851
12900,1864
13000,1858
13100,1939
13200,1909
13300,1913
13400,1935
13500,1927
13600,1977
13700,2018
13800,1992
13900,2011
14000,2025
14100,2044
14200,2045
14300,2165
14400,2041
14500,2069
14600,2084
14700,2127
14800,2130
14900,2203
15000,2192
15100,2176
15200,2339
15300,2214
15400,2224
15500,2269
15600,2305
15700,2337
15800,2682
15900,2419
16000,2685
16100,2517
16200,2541
16300,2970
16400,2625
16500,2619
16600,2655
16700,2639
16800,2679
16900,2704
17000,2687
17100,2752
17200,2704
17300,2741
17400,3753
17500,2763
17600,2790
17700,2855
17800,2811
17900,2858
18000,2845
18100,3090
18200,2856
18300,2879
18400,2940
18500,2933
18600,2935
18700,2999
18800,2999
18900,2999
19000,3033
19100,3065
19200,3058
19300,3036
19400,3065
19500,3104
19600,3096
19700,3091
19800,3172
19900,3135
20000,3142
20100,3193
20200,3239
20300,3190
20400,3234
20500,3206
20600,3348
20700,3263
20800,3656
20900,3279
21000,3340
21100,3348
21200,3421
21300,3335
21400,3385
21500,3372
21600,3419
21700,3418
21800,3416
21900,3447
22000,3474
22100,3487
22200,3458
22300,3474
22400,3506
22500,3503
22600,3697
22700,3535
22800,3555
22900,3572
23000,3599
23100,3602
23200,3643
23300,3626
23400,3639
23500,3667
23600,3706
23700,3714
23800,3694
23900,3733
24000,3780
24100,3759
24200,3700
24300,3787
24400,3772
24500,3823
24600,3826
24700,3813
24800,3860
24900,3857
25000,4044
25100,3974
25200,3892
25300,4034
25400,5401
25500,3965
25600,3960
25700,4074
25800,4020
25900,4009
26000,4013
26100,4019
26200,4069
26300,4047
26400,4058
26500,4132
26600,4132
26700,4109
26800,4479
26900,4143
27000,4301
27100,4181
27200,4253
27300,4215
27400,4212
27500,4294
27600,4266
27700,4255
27800,4310
27900,4526
28000,4361
28100,4341
28200,4392
28300,4358
28400,4395
28500,4740
28600,4393
28700,4531
28800,4482
28900,4716
29000,4531
29100,4755
29200,4605
29300,4839
29400,4637
29500,4636
29600,4588
29700,4709
29800,4580
29900,4823
30000,5134
30100,4845
30200,4638
30300,5164
30400,4685
30500,4831
30600,4694
30700,4939
30800,4775
30900,4867
31000,4938
31100,5222
31200,4938
31300,5363
31400,5031
31500,5074
31600,5222
31700,5356
31800,5260
31900,5641
32000,5293
32100,5416
32200,5317
32300,5459
32400,5534
32500,5644
32600,5353
32700,5509
32800,5541
32900,5673
33000,5603
33100,5589
33200,5780
33300,5573
33400,5920
33500,5954
33600,5650
33700,5725
33800,5582
33900,5945
34000,5828
34100,5776
34200,5818
34300,5816
34400,5781
34500,5918
34600,5828
34700,6117
34800,5797
34900,6082
35000,5873
35100,5948
35200,5887
35300,6031
35400,5906
35500,5979
35600,6132
35700,5956
35800,6021
35900,6203
36000,6049
36100,6078
36200,6030
36300,6031
36400,6098
36500,6126
36600,6143
36700,6013
36800,6424
36900,6207
37000,6168
37100,6186
37200,6159
37300,6211
37400,6482
37500,6303
37600,6289
37700,6322
37800,6435
37900,6365
38000,6382
38100,6350
38200,6274
38300,6453
38400,6478
38500,6330
38600,6395
38700,6470
38800,6480
38900,6426
39000,6459
39100,6420
39200,6521
39300,6623
39400,6665
39500,6522
39600,6635
39700,6556
39800,6506
39900,6604
40000,6688
40100,6715
40200,6737
40300,6664
40400,6652
40500,8263
40600,6766
40700,6695
40800,6832
40900,6755
41000,6736
41100,6802
41200,6679
41300,7046
41400,6754
41500,6734
41600,6749
41700,6901
41800,6923
41900,6898
42000,6909
42100,6970
42200,7034
42300,7047
42400,7208
42500,6940
42600,7088
42700,7027
42800,7309
42900,7091
43000,7132
43100,7109
43200,7049
43300,7163
43400,7183
43500,7073
43600,7188
43700,7300
43800,7385
43900,7251
44000,7860
44100,7228
44200,7473
44300,9801
44400,7311
44500,7425
44600,7312
44700,7366
44800,10431
44900,7473
45000,7408
45100,7371
45200,9083
45300,7657
45400,8020
45500,7521
45600,7621
45700,7556
45800,7574
45900,7433
46000,7454
46100,7475
46200,7457
46300,7681
46400,7596
46500,7919
46600,7695
46700,7683
46800,7764
46900,7718
47000,7710
47100,7704
47200,7897
47300,7710
47400,7769
47500,7822
47600,7751
47700,7758
47800,7743
47900,7839
48000,7849
48100,8069
48200,8015
48300,7928
48400,7977
48500,7974
48600,8091
48700,8036
48800,8011
48900,8318
49000,7977
49100,8273
49200,8043
49300,8265
49400,8142
49500,8108
49600,8070
49700,8427
49800,8202
49900,8217
50000,8113
50100,8181
50200,8226
50300,8123
50400,8495
50500,8224
50600,8630
50700,8363
50800,8384
50900,8337
51000,8261
51100,8419
51200,8383
51300,8354
51400,8539
51500,8498
51600,8455
51700,8484
51800,8674
51900,8619
52000,8598
52100,8464
52200,8457
52300,8608
52400,8478
52500,8571
52600,8616
52700,8581
52800,8743
52900,8682
53000,8941
53100,8810
53200,8625
53300,8927
53400,8636
53500,8718
53600,8733
53700,8755
53800,8833
53900,8909
54000,8948
54100,8835
54200,9153
54300,8806
54400,9212
54500,9051
54600,8942
54700,9224
54800,8942
54900,12544
55000,9203
55100,8925
55200,8942
55300,9137
55400,9024
55500,9185
55600,9210
55700,9034
55800,9181
55900,9070
56000,9187
56100,9115
56200,9294
56300,9100
56400,9532
56500,9377
56600,9134
56700,9203
56800,9298
56900,9187
57000,9395
57100,9304
57200,9241
57300,9310
57400,9510
57500,9361
57600,9250
57700,9393
57800,9277
57900,12691
58000,9539
58100,9428
58200,9384
58300,9579
58400,9627
58500,9607
58600,9497
58700,9616
58800,9506
58900,9716
59000,9535
59100,9869
59200,9573
59300,9878
59400,9630
59500,9630
59600,9652
59700,9633
59800,9522
59900,9663
60000,9874
60100,9779
60200,9973
60300,9729
60400,9787
60500,10254
60600,9779
60700,10084
60800,9971
60900,9957
61000,9915
61100,9927
61200,10060
61300,10161
61400,9910
61500,10260
61600,10044
61700,10045
61800,10185
61900,10405
62000,10215
62100,10525
62200,11755
62300,10372
62400,10589
62500,10374
62600,10755
62700,10689
62800,10681
62900,10785
63000,10606
63100,10644
63200,10724
63300,10714
63400,10937
63500,10973
63600,10925
63700,11113
63800,10878
63900,10961
64000,10986
64100,11172
64200,11030
64300,11053
64400,11653
64500,11261
64600,11292
64700,11375
64800,11263
64900,11409
65000,11358
65100,11461
65200,12104
65300,11878
65400,11485
65500,11626
65600,11522
65700,11710
65800,11695
65900,11886
66000,11712
66100,11758
66200,11709
66300,11772
66400,11990
66500,11961
66600,11716
66700,11932
66800,11938
66900,11964
67000,11819
67100,11905
67200,12016
67300,12022
67400,11870
67500,11991
67600,12076
67700,11988
67800,12030
67900,12118
68000,12193
68100,12072
68200,12168
68300,12288
68400,12161
68500,12069
68600,12295
68700,12362
68800,12113
68900,12278
69000,12231
69100,12244
69200,12140
69300,12394
69400,12176
69500,12149
69600,12362
69700,12353
69800,12158
69900,12396
70000,12318
70100,12572
70200,12342
70300,12439
70400,12516
70500,12540
70600,12329
70700,12833
70800,12655
70900,12348
71000,12502
71100,12457
71200,12550
71300,12559
71400,12658
71500,12697
71600,12600
71700,12664
71800,12569
71900,13825
72000,12606
72100,12776
72200,12734
72300,13055
72400,12907
72500,12513
72600,12751
72700,12591
72800,12829
72900,12960
73000,12720
73100,12858
73200,12721
73300,12869
73400,13038
73500,13084
73600,12943
73700,12930
73800,12975
73900,13028
74000,13000
74100,13111
74200,13092
74300,13252
74400,13033
74500,13172
74600,13068
74700,13656
74800,13205
74900,13066
75000,13321
75100,13287
75200,13077
75300,13159
75400,13179
75500,13200
75600,13267
75700,13544
75800,13418
75900,13164
76000,16113
76100,13371
76200,13417
76300,14434
76400,13338
76500,13692
76600,13309
76700,13272
76800,13367
76900,13279
77000,13578
77100,18827
77200,13546
77300,13727
77400,13511
77500,13475
77600,13481
77700,13581
77800,13627
77900,13550
78000,13785
78100,13788
78200,13482
78300,13637
78400,13750
78500,13809
78600,13821
78700,13603
78800,13712
78900,14176
79000,14020
79100,14127
79200,13995
79300,14030
79400,17407
79500,14183
79600,13880
79700,14008
79800,13853
79900,13951
80000,13855
80100,14068
80200,14597
80300,14377
80400,13990
80500,13806
80600,14147
80700,14042
80800,14308
80900,14043
81000,14424
81100,14502
81200,14328
81300,14187
81400,14546
81500,14486
81600,15091
81700,14280
81800,14284
81900,14227
82000,14328
82100,14224
82200,14261
82300,14336
82400,14423
82500,14356
82600,14317
82700,14476
82800,14322
82900,14553
83000,16540
83100,16743
83200,14331
83300,14865
83400,14539
83500,22670
83600,14626
83700,14544
83800,14600
83900,14738
84000,14775
84100,14709
84200,14762
84300,14753
84400,14772
84500,15043
84600,14716
84700,15105
84800,15015
84900,15187
85000,14973
85100,15009
85200,14877
85300,14804
85400,14828
85500,14852
85600,14949
85700,15015
85800,14880
85900,14982
86000,14864
86100,14880
86200,15011
86300,15132
86400,14981
86500,15430
86600,15406
86700,15372
86800,15647
86900,15189
87000,15254
87100,15168
87200,15082
87300,15484
87400,15116
87500,15488
87600,15321
87700,15182
87800,15438
87900,15350
88000,15305
88100,15584
88200,15693
88300,15446
88400,15226
88500,15782
88600,15494
