size,time_us
500,140
600,168
700,174
800,232
900,221
1000,284
1100,321
1200,355
1300,331
1400,404
1500,442
1600,465
1700,503
1800,528
1900,559
2000,590
2100,550
2200,657
2300,684
2400,631
2500,804
2600,770
2700,715
2800,1025
2900,1268
3000,1230
3100,820
3200,846
3300,1535
3400,907
3500,1127
3600,962
3700,1262
3800,1151
3900,1355
4000,1203
4100,1916
4200,1427
4300,1280
4400,1191
4500,1223
4600,1243
4700,1482
4800,1297
4900,1329
5000,1356
5100,1891
5200,1453
5300,1449
5400,1472
5500,1505
5600,1719
5700,1815
5800,1837
5900,1831
6000,1644
6100,1676
6200,1906
6300,1878
6400,1883
6500,1889
6600,1916
6700,1859
6800,1890
6900,2139
7000,2180
7100,2277
7200,2048
7300,2025
7400,2171
7500,2084
7600,2114
7700,2175
7800,2171
7900,2217
8000,2610
8100,2461
8200,2273
8300,2310
8400,2348
8500,2380
8600,2414
8700,2437
8800,2487
8900,2513
9000,2739
9100,2592
9200,2785
9300,2686
9400,2644
9500,3009
9600,2764
9700,2737
9800,2791
9900,3013
10000,2818
10100,2840
10200,2893
10300,3697
10400,3351
10500,2971
10600,3001
10700,3037
10800,3306
10900,3108
11000,3364
11100,3341
11200,3233
11300,3302
11400,3524
11500,3311
11600,3696
11700,3341
11800,3601
11900,3388
12000,3952
12100,3645
12200,3532
12300,3618
12400,3556
12500,3613
12600,3805
12700,3847
12800,3980
12900,3723
13000,3718
13100,3761
13200,3866
13300,3828
13400,4403
13500,4107
13600,4382
13700,4529
13800,3977
13900,4077
14000,4427
14100,4353
14200,4053
14300,4197
14400,4129
14500,4401
14600,4554
14700,4750
14800,4414
14900,4814
15000,4850
15100,4426
15200,4998
15300,4565
15400,4572
15500,4830
15600,4612
15700,4909
15800,4952
15900,4742
16000,4691
16100,4808
16200,4849
16300,4901
16400,4758
16500,4890
16600,5000
16700,5114
16800,5163
16900,5948
17000,5167
17100,5123
17200,5285
17300,5151
17400,7277
17500,5428
17600,5296
17700,5438
17800,5518
17900,5460
18000,5470
18100,5410
18200,5437
18300,5379
18400,6878
18500,5453
18600,5783
18700,5509
18800,6048
18900,5588
19000,6065
19100,5904
19200,6063
19300,5685
19400,6073
19500,5770
19600,6139
19700,5840
19800,6811
19900,5930
20000,6145
20100,6045
20200,6592
20300,5931
20400,6271
20500,6416
20600,6099
20700,6186
20800,6583
20900,6126
21000,6782
21100,6320
21200,6649
21300,6503
21400,7001
21500,6515
21600,6457
21700,6527
21800,6973
21900,6635
22000,6759
22100,6856
22200,6930
22300,6667
22400,6928
22500,6797
22600,6783
22700,7053
22800,6800
22900,6958
23000,7501
23100,6937
23200,6941
23300,7123
23400,7042
23500,7254
23600,7063
23700,7106
23800,7145
23900,7481
24000,7298
24100,7165
24200,7203
24300,7372
24400,7407
24500,7720
24600,7255
