size,time_us
500,37
600,43
700,43
800,50
900,49
1000,67
1100,79
1200,81
1300,85
1400,85
1500,99
1600,133
1700,113
1800,112
1900,121
2000,139
2100,151
2200,191
2300,172
2400,170
2500,181
2600,189
2700,186
2800,186
2900,197
3000,282
3100,223
3200,265
3300,225
3400,227
3500,244
3600,242
3700,247
3800,263
3900,282
4000,466
4100,315
4200,340
4300,327
4400,332
4500,361
4600,339
4700,370
4800,361
4900,386
5000,372
5100,374
5200,386
5300,395
5400,414
5500,423
5600,411
5700,419
5800,421
5900,429
6000,434
6100,442
6200,455
6300,570
6400,478
6500,471
6600,480
6700,484
6800,494
6900,514
7000,503
7100,526
7200,537
7300,743
7400,527
7500,765
7600,564
7700,576
7800,602
7900,629
8000,650
8100,763
8200,708
8300,718
8400,686
8500,907
8600,702
8700,725
8800,714
8900,1062
9000,723
9100,766
9200,772
9300,782
9400,750
9500,802
9600,764
9700,766
9800,778
9900,829
10000,795
10100,797
10200,877
10300,1174
10400,824
10500,830
10600,855
10700,882
10800,884
10900,883
11000,989
11100,875
11200,903
11300,886
11400,892
11500,899
11600,910
11700,1196
11800,919
11900,927
12000,935
12100,938
12200,977
12300,949
12400,957
12500,967
12600,1008
12700,1007
12800,1040
12900,1021
13000,1008
13100,1012
13200,1019
13300,1019
13400,1056
13500,1046
13600,1057
13700,1117
13800,1058
13900,1072
14000,1085
14100,1086
14200,1089
14300,1088
14400,1100
14500,1143
14600,1125
14700,1200
14800,1133
14900,1147
15000,1152
15100,1230
15200,1196
15300,1226
15400,1212
15500,1248
15600,1265
15700,1290
15800,1305
15900,1338
16000,1368
16100,1392
16200,1412
16300,1462
16400,1463
16500,1470
16600,1470
16700,1475
16800,1491
16900,1464
17000,1480
17100,1519
17200,1515
17300,1523
17400,2288
17500,1561
17600,1560
17700,1566
17800,1575
17900,1616
18000,1581
18100,1607
18200,1592
18300,1593
18400,1605
18500,1612
18600,1631
18700,1654
18800,1648
18900,1692
19000,1677
19100,1677
19200,1658
19300,1681
19400,1706
19500,1700
19600,1712
19700,1704
19800,1753
19900,1726
20000,1740
20100,1745
20200,1746
20300,1755
20400,1750
20500,1793
20600,1778
20700,1782
20800,1797
20900,1809
21000,1823
21100,1824
21200,1836
21300,1858
21400,1855
21500,1835
21600,1863
21700,1878
21800,1874
21900,1892
22000,1890
22100,1906
22200,1930
22300,1914
22400,1933
22500,2363
22600,2182
22700,1959
22800,1961
22900,1965
23000,1971
23100,2355
23200,1994
23300,1996
23400,2000
23500,1999
23600,2024
23700,2025
23800,2017
23900,2041
24000,2026
24100,2080
24200,2054
24300,2080
24400,2064
24500,2070
24600,2073
24700,2153
24800,2109
24900,3029
25000,2118
25100,2159
25200,2141
25300,2335
25400,3162
25500,2196
25600,2195
25700,2172
25800,2181
25900,2234
26000,2213
26100,2254
26200,2204
26300,2253
26400,2222
26500,2260
26600,2231
26700,2260
26800,2274
26900,2343
27000,2294
27100,2293
27200,2294
27300,3242
27400,2320
27500,2377
27600,2312
27700,2325
27800,2334
27900,2348
28000,2372
28100,2432
28200,2375
28300,2391
28400,2394
28500,2408
28600,2396
28700,2414
28800,2427
28900,2450
29000,2443
29100,2512
29200,2461
29300,2516
29400,2483
29500,2484
29600,2484
29700,2490
29800,2513
29900,2521
30000,2525
30100,2619
30200,2526
30300,2608
30400,2574
30500,2558
30600,3830
30700,2570
30800,2610
30900,2737
31000,2687
31100,2710
31200,2737
31300,2738
31400,2899
31500,2819
31600,2813
31700,2817
31800,2847
31900,2869
32000,2910
32100,3026
32200,2968
32300,2995
32400,3012
32500,3009
32600,2991
32700,2983
32800,3089
32900,3142
33000,3093
33100,3126
33200,3178
33300,3128
33400,3144
33500,3169
33600,3118
33700,3260
33800,3177
33900,3198
34000,3201
34100,3244
34200,3157
34300,3197
34400,3188
34500,3230
34600,3266
34700,3238
34800,3225
34900,3293
35000,3367
35100,3288
35200,3294
