size,time_us
500,121
600,145
700,145
800,164
900,181
1000,238
1100,267
1200,250
1300,267
1400,338
1500,371
1600,573
1700,419
1800,393
1900,465
2000,414
2100,439
2200,544
2300,566
2400,504
2500,612
2600,633
2700,566
2800,586
2900,611
3000,786
3100,657
3200,1428
3300,755
3400,715
3500,748
3600,760
3700,1291
3800,1016
3900,963
4000,1832
4100,1018
4200,1064
4300,916
4400,942
4500,1122
4600,984
4700,1166
4800,1188
4900,1216
5000,1065
5100,1079
5200,1118
5300,1139
5400,1340
5500,1189
5600,1380
5700,2064
5800,1253
5900,1403
6000,1282
6100,1720
6200,2032
6300,1351
6400,1592
6500,1395
6600,1418
6700,1449
6800,1467
6900,1741
7000,1766
7100,1782
7200,1806
7300,1631
7400,1718
7500,1890
7600,1916
7700,1939
7800,1951
7900,2372
8000,2135
8100,1747
8200,2043
8300,2080
8400,1818
8500,1844
8600,1872
8700,1882
8800,1916
8900,1947
9000,1985
9100,1993
9200,2385
9300,2385
9400,2558
9500,2406
9600,2097
9700,2472
9800,2143
9900,2164
10000,2180
10100,2244
10200,2217
10300,2246
10400,2314
10500,2327
10600,2327
10700,2703
10800,2367
10900,2762
11000,3575
11100,2832
11200,2853
11300,2546
11400,2555
11500,2549
11600,2592
11700,2573
11800,2611
11900,2940
12000,3045
12100,2664
12200,3088
12300,2691
12400,2743
12500,2765
12600,2796
12700,2816
12800,2851
12900,2869
13000,2862
13100,3341
13200,3366
13300,2951
13400,2968
13500,3010
13600,3012
13700,3108
13800,3098
13900,3091
14000,3166
14100,3119
14200,3128
14300,3193
14400,3201
14500,3728
14600,3228
14700,3264
14800,3276
14900,3309
15000,3388
15100,3454
15200,3494
15300,3452
15400,3756
15500,3496
15600,3512
15700,3539
15800,3536
15900,3550
16000,3927
16100,3921
16200,3627
16300,3908
16400,3691
16500,3684
16600,3981
16700,3817
16800,4332
16900,3807
17000,6409
17100,3852
17200,3833
17300,3884
17400,6934
17500,3972
17600,3966
17700,4252
17800,4030
17900,4043
18000,4078
18100,4176
18200,4124
18300,4237
18400,4182
18500,4165
18600,4193
18700,4236
18800,4348
18900,4579
19000,4326
19100,4322
19200,4434
19300,4425
19400,4490
19500,4397
19600,4473
19700,4625
19800,4537
19900,4516
20000,4543
20100,4546
20200,4583
20300,4558
20400,4663
20500,4772
20600,4937
20700,4732
20800,4760
20900,4810
21000,4812
21100,4839
21200,4842
21300,5033
21400,4887
21500,4880
21600,4932
21700,5128
21800,4977
21900,4979
22000,5006
22100,5044
22200,5091
22300,5093
22400,5335
22500,5145
22600,5874
22700,5244
22800,5198
22900,5260
23000,5276
23100,5343
23200,5259
23300,5345
23400,5332
23500,5372
23600,5330
23700,5466
23800,5411
23900,5511
24000,5469
24100,5495
24200,5497
24300,5865
24400,5698
24500,5619
24600,5586
24700,5597
24800,5812
24900,6098
25000,5673
25100,6303
25200,5723
25300,5750
25400,10549
25500,6519
25600,6052
25700,6142
25800,5869
25900,5918
26000,5925
26100,6100
26200,5961
26300,6490
26400,5998
26500,6196
26600,6073
26700,6962
26800,6276
26900,6496
27000,6198
27100,7066
27200,6286
27300,7561
27400,6286
27500,6966
27600,6315
27700,6355
27800,6519
27900,6594
28000,6435
28100,6579
28200,6525
28300,6990
28400,6473
28500,7044
28600,6541
28700,7208
28800,6625
28900,6926
29000,6681
29100,7333
29200,6680
29300,6934
29400,7101
29500,6814
29600,6812
29700,6909
29800,7003
29900,7479
30000,7014
30100,7322
30200,7067
30300,7018
30400,7016
30500,7101
30600,7430
30700,7695
30800,7407
30900,7664
31000,7228
31100,7142
31200,7226
31300,7564
31400,7217
31500,7307
31600,7306
31700,7752
31800,7361
31900,7635
32000,7328
32100,8026
32200,7582
32300,7548
32400,7692
32500,7789
32600,7735
32700,7393
32800,7587
32900,7723
33000,7509
33100,7588
33200,7876
33300,7861
33400,8134
33500,7895
33600,7671
33700,8053
33800,8078
33900,7871
34000,8069
34100,8079
34200,8116
34300,8050
34400,8316
34500,7956
34600,7963
34700,8290
34800,8258
34900,8193
35000,8146
35100,8235
35200,8226
35300,8240
35400,8594
35500,8260
35600,8605
35700,8182
35800,8193
35900,8486
36000,8964
36100,8545
