N,area_estimate,relative_error,execution_time_ms
100,1.03703,0.0979449,0
600,1.02983,0.0903203,0
1100,0.934896,0.010186,0
1600,0.974914,0.0321826,0
2100,0.92386,0.0218705,1
2600,1.01044,0.0697925,1
3100,0.932489,0.012735,1
3600,0.913401,0.0329444,1
4100,0.95904,0.0153759,83
4600,0.94873,0.00446047,2
5100,0.950609,0.0064495,3
5600,0.939035,0.00580435,2
6100,0.947775,0.00344965,3
6600,0.928349,0.0171175,3
7100,0.957912,0.0141815,2
7600,0.955726,0.011867,3
8100,0.950609,0.0064495,3
8600,0.933024,0.0121688,4
9100,0.949659,0.00544406,4
9600,0.904699,0.0421574,3
10100,0.964299,0.0209438,5
10600,0.963653,0.0202601,5
11100,0.963844,0.0204623,4
11600,0.931984,0.0132693,5
12100,0.942395,0.00224635,5
12600,0.934834,0.010252,8
13100,0.941703,0.00297942,6
13600,0.94489,0.000394656,9
14100,0.945399,0.000933819,7
14600,0.949129,0.0048828,12
15100,0.937732,0.00718392,11
15600,0.955872,0.0120213,8
16100,0.932627,0.0125884,5
16600,0.968569,0.0254651,16
17100,0.954905,0.0109975,9
17600,0.939315,0.00550729,15
18100,0.940582,0.00416599,8
18600,0.968961,0.02588,9
19100,0.931153,0.0141489,9
19600,0.951932,0.00784994,7
20100,0.945235,0.000759486,9
20600,0.953126,0.00911441,10
21100,0.934431,0.0106788,9
21600,0.959811,0.0161921,8
22100,0.942788,0.00183063,11
22600,0.944682,0.000174372,10
23100,0.949487,0.00526125,38
23600,0.955918,0.012071,12
24100,0.949354,0.00512073,13
24600,0.953771,0.00979689,10
25100,0.936148,0.00886049,14
25600,0.949596,0.00537729,11
26100,0.951106,0.00697534,11
26600,0.946385,0.00197792,9
27100,0.937375,0.00756179,16
27600,0.938084,0.0068107,12
28100,0.930772,0.0145521,13
28600,0.930515,0.0148248,11
29100,0.970209,0.027201,10
29600,0.938493,0.0063784,10
30100,0.976448,0.0338069,10
30600,0.934652,0.0104443,15
31100,0.935604,0.00943716,16
31600,0.930918,0.0143976,15
32100,0.948724,0.00445427,56
32600,0.943186,0.001409,17
33100,0.938077,0.00681872,12
33600,0.939678,0.00512358,15
34100,0.92742,0.0181013,17
34600,0.931252,0.0140444,16
35100,0.945562,0.00110575,14
35600,0.940656,0.00408789,13
36100,0.935408,0.00964457,14
36600,0.926407,0.0191742,13
37100,0.946532,0.00213368,17
37600,0.950379,0.00620616,15
38100,0.961837,0.0183367,13
38600,0.9374,0.00753555,15
39100,0.936795,0.00817573,14
39600,0.949409,0.00517873,16
40100,0.949424,0.00519457,16
40600,0.936986,0.00797342,16
41100,0.939149,0.0056831,15
41600,0.938976,0.00586719,15
42100,0.956356,0.0125347,19
42600,0.945639,0.00118744,16
43100,0.941786,0.0028911,18
43600,0.950113,0.00592487,16
44100,0.931797,0.0134679,16
44600,0.943052,0.00155122,16
45100,0.941699,0.00298406,16
45600,0.947577,0.00323913,16
46100,0.938986,0.00585574,22
46600,0.954967,0.0110635,21
47100,0.947398,0.00304999,19
47600,0.931274,0.0140216,17
48100,0.944141,0.00039839,17
48600,0.956832,0.0130387,22
49100,0.942249,0.00240189,18
