N,area_estimate,relative_error,execution_time_ms
100,1.35,0.429302,1
600,0.945,0.000511176,0
1100,1.04727,0.108792,0
1600,0.928125,0.0173551,0
2100,0.955714,0.0118548,1
2600,1.00385,0.0628141,1
3100,0.952258,0.00819559,1
3600,0.9275,0.0180168,1
4100,0.889024,0.0587526,1
4600,0.974348,0.031583,2
5100,0.937059,0.00789648,2
5600,0.898393,0.0488338,3
6100,0.917705,0.0283873,2
6600,0.924545,0.0211449,3
7100,0.921549,0.0243171,3
7600,0.959211,0.0155565,3
8100,0.948889,0.00462851,3
8600,0.930349,0.0150006,3
9100,0.936593,0.00838924,4
9600,0.942188,0.00246654,5
10100,0.966832,0.0236253,3
10600,0.900849,0.0462333,5
11100,0.951892,0.00780791,5
11600,0.975259,0.0325472,4
12100,0.963967,0.0205923,6
12600,0.925,0.0206637,6
13100,0.952214,0.00814867,32
13600,0.9675,0.0243329,9
14100,0.968298,0.0251776,6
14600,0.969041,0.0259645,6
15100,0.933974,0.011163,12
15600,0.987692,0.0457113,15
16100,0.944161,0.000376589,20
16600,0.958554,0.0148616,5
17100,0.961579,0.018064,6
17600,0.992557,0.0508616,9
18100,0.967127,0.023938,10
18600,0.945,0.000511176,9
19100,0.964555,0.0212148,7
19600,0.970255,0.0272498,11
20100,0.95597,0.0121257,7
20600,0.951553,0.00744953,8
21100,0.917488,0.0286168,10
21600,0.925417,0.0202225,7
22100,0.963122,0.0196979,8
22600,0.914735,0.0315322,12
23100,0.948312,0.0040174,8
23600,0.972458,0.0295817,12
24100,0.938838,0.00601261,13
24600,0.965488,0.0222025,18
25100,0.956295,0.0124695,12
25600,0.967852,0.0247051,13
26100,0.931379,0.0139096,14
26600,0.957857,0.0141236,9
27100,0.935535,0.00950976,14
27600,0.915,0.0312511,10
28100,0.94548,0.00101982,12
28600,0.922343,0.0234771,10
29100,0.972371,0.0294901,12
29600,0.926149,0.0194475,10
30100,0.934086,0.0110435,11
30600,0.943824,0.000734403,16
31100,0.959035,0.015371,17
31600,0.954968,0.0110651,24
32100,0.900561,0.0465385,45
32600,0.953834,0.00986448,11
33100,0.948671,0.00439749,14
33600,0.925446,0.020191,14
34100,0.95437,0.0104311,13
34600,0.937717,0.00719989,14
35100,0.933846,0.0112979,15
35600,0.96118,0.0176414,13
36100,0.958587,0.0148966,12
36600,0.939344,0.00547679,14
37100,0.96283,0.0193887,14
37600,0.94859,0.00431251,18
38100,0.950079,0.00588825,14
38600,0.931943,0.0133128,18
39100,0.933606,0.011552,17
39600,0.956136,0.0123017,18
40100,0.965761,0.0224913,17
40600,0.958522,0.0148277,19
41100,0.93635,0.00864656,21
41600,0.939159,0.0056733,14
42100,0.923729,0.0220091,15
42600,0.940563,0.00418606,15
43100,0.956589,0.0127813,15
43600,0.956972,0.0131869,16
44100,0.932245,0.0129932,16
